Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2050.22363281,2019-07-26,2019-08-01
2,Man City,ENG,1,2041.2755127,2019-07-26,2019-08-01
3,Barcelona,ESP,1,1999.93322754,2019-07-26,2019-08-01
4,Bayern,GER,1,1947.40515137,2019-07-26,2019-08-01
5,Tottenham,ENG,1,1894.81811523,2019-07-26,2019-08-01
6,Chelsea,ENG,1,1887.00634766,2019-07-26,2019-08-01
7,Atletico,ESP,1,1877.13037109,2019-07-26,2019-08-01
8,Juventus,ITA,1,1871.39111328,2019-07-26,2019-08-01
9,Arsenal,ENG,1,1870.88647461,2019-07-26,2019-08-01
10,Man United,ENG,1,1842.22912598,2019-07-26,2019-08-01
11,Real Madrid,ESP,1,1840.5534668,2019-07-26,2019-08-01
12,Paris SG,FRA,1,1833.99035645,2019-07-26,2019-08-01
13,Dortmund,GER,1,1826.00793457,2019-07-26,2019-08-01
14,Porto,POR,1,1816.52832031,2019-07-26,2019-08-01
15,Valencia,ESP,1,1812.35949707,2019-07-31,2019-08-01
16,Napoli,ITA,1,1809.40808105,2019-07-31,2019-08-01
17,Ajax,NED,1,1808.73681641,2019-07-31,2019-08-01
18,Benfica,POR,1,1797.36364746,2019-07-26,2019-08-01
19,RB Leipzig,GER,1,1784.65209961,2019-07-26,2019-08-01
20,Everton,ENG,1,1773.66552734,2019-07-26,2019-08-01
21,Salzburg,AUT,1,1767.13098145,2019-07-27,2019-08-01
22,Leverkusen,GER,1,1764.07214355,2019-07-27,2019-08-01
23,Getafe,ESP,1,1759.92773438,2019-07-26,2019-08-01
24,Shakhtar,UKR,1,1755.0592041,2019-08-01,2019-08-01
25,Roma,ITA,1,1751.19946289,2019-07-26,2019-08-01
26,Atalanta,ITA,1,1750.59240723,2019-07-26,2019-08-01
27,Frankfurt,GER,1,1748.74304199,2019-07-26,2019-08-01
28,Sevilla,ESP,1,1747.28918457,2019-07-26,2019-08-01
29,Crystal Palace,ENG,1,1746.53588867,2019-07-26,2019-08-01
30,Leicester,ENG,1,1742.67431641,2019-07-26,2019-08-01
31,Espanyol,ESP,1,1738.32519531,2019-07-26,2019-08-01
32,Inter,ITA,1,1733.90148926,2019-07-26,2019-08-01
33,West Ham,ENG,1,1733.44763184,2019-07-26,2019-08-01
34,Lyon,FRA,1,1732.28625488,2019-07-26,2019-08-01
35,Villarreal,ESP,1,1731.56445312,2019-07-26,2019-08-01
36,Hoffenheim,GER,1,1730.12890625,2019-07-26,2019-08-01
37,Wolves,ENG,1,1723.56420898,2019-07-26,2019-08-01
38,Bilbao,ESP,1,1720.72399902,2019-07-26,2019-08-01
39,Werder,GER,1,1720.4855957,2019-07-26,2019-08-01
40,Newcastle,ENG,1,1719.58984375,2019-07-26,2019-08-01
41,Sporting,POR,1,1718.8248291,2019-07-26,2019-08-01
42,Sociedad,ESP,1,1718.13562012,2019-07-26,2019-08-01
43,Milan,ITA,1,1714.22839355,2019-07-26,2019-08-01
44,Eibar,ESP,1,1711.48266602,2019-07-31,2019-08-01
45,Wolfsburg,GER,1,1707.35192871,2019-07-31,2019-08-01
46,Zenit,RUS,1,1704.66699219,2019-07-31,2019-08-01
47,Torino,ITA,1,1697.7052002,2019-07-31,2019-08-01
48,Gladbach,GER,1,1696.69543457,2019-07-31,2019-08-01
49,Bournemouth,ENG,1,1694.89733887,2019-07-31,2019-08-01
50,PSV,NED,1,1694.89624023,2019-07-31,2019-08-01
51,Watford,ENG,1,1689.3125,2019-07-26,2019-08-01
52,Young Boys,SUI,1,1686.6015625,2019-07-31,2019-08-01
53,Burnley,ENG,1,1685.66638184,2019-07-31,2019-08-01
54,Betis,ESP,1,1685.2010498,2019-07-31,2019-08-01
55,Levante,ESP,1,1684.5892334,2019-07-31,2019-08-01
56,Alaves,ESP,1,1682.11157227,2019-07-31,2019-08-01
57,Dynamo Kyiv,UKR,1,1681.82312012,2019-08-01,2019-08-01
58,Olympiakos,GRE,1,1680.83972168,2019-08-01,2019-08-01
59,Celta,ESP,1,1679.86791992,2019-08-01,2019-08-01
60,Lille,FRA,1,1677.86828613,2019-07-31,2019-08-01
61,Southampton,ENG,1,1677.78918457,2019-07-31,2019-08-01
62,FC Krasnodar,RUS,1,1676.94592285,2019-07-31,2019-08-01
63,CSKA Moskva,RUS,1,1669.91918945,2019-07-31,2019-08-01
64,Leganes,ESP,1,1669.49926758,2019-07-31,2019-08-01
65,Dinamo Zagreb,CRO,1,1668.79199219,2019-07-31,2019-08-01
66,PAOK,GRE,1,1663.03601074,2019-08-01,2019-08-01
67,Lazio,ITA,1,1662.15979004,2019-08-01,2019-08-01
68,Saint-Etienne,FRA,1,1660.47583008,2019-08-01,2019-08-01
69,Crvena Zvezda,SRB,1,1659.24902344,2019-08-01,2019-08-01
70,Mainz,GER,1,1653.11328125,2019-07-31,2019-08-01
71,Slavia Praha,CZE,1,1652.36914062,2019-07-31,2019-08-01
72,Schalke,GER,1,1649.54797363,2019-07-26,2019-08-01
73,Genk,BEL,1,1645.03857422,2019-07-27,2019-08-01
74,Brugge,BEL,1,1642.20605469,2019-07-28,2019-08-01
75,Marseille,FRA,1,1641.53063965,2019-07-28,2019-08-01
76,Osasuna,ESP,1,1640.35351562,2019-07-28,2019-08-01
77,Hertha,GER,1,1640.08361816,2019-07-28,2019-08-01
78,Norwich,ENG,1,1634.67492676,2019-07-29,2019-08-01
79,Lok Moskva,RUS,1,1631.84106445,2019-07-29,2019-08-01
80,Basel,SUI,1,1631.75561523,2019-07-31,2019-08-01
81,Girona,ESP,2,1624.38769531,2019-07-31,2019-08-01
82,Sheffield United,ENG,1,1623.56713867,2019-07-31,2019-08-01
83,Montpellier,FRA,1,1622.95068359,2019-07-31,2019-08-01
84,Besiktas,TUR,1,1621.69702148,2019-07-31,2019-08-01
85,Rennes,FRA,1,1620.75708008,2019-07-31,2019-08-01
86,Brighton,ENG,1,1620.26245117,2019-07-31,2019-08-01
87,APOEL,CYP,0,1616.84179688,2019-07-31,2019-08-01
88,Aston Villa,ENG,1,1616.20715332,2019-07-31,2019-08-01
89,Valladolid,ESP,1,1616.05786133,2019-07-31,2019-08-01
90,Huesca,ESP,2,1615.28259277,2019-07-31,2019-08-01
91,Sampdoria,ITA,1,1612.56420898,2019-07-26,2019-08-01
92,Cardiff,ENG,2,1611.10974121,2019-07-26,2019-08-01
93,West Brom,ENG,2,1610.86340332,2019-07-26,2019-08-01
94,Duesseldorf,GER,1,1607.18457031,2019-07-26,2019-08-01
95,Braga,POR,1,1605.25512695,2019-07-26,2019-08-01
96,Galatasaray,TUR,1,1604.71630859,2019-07-26,2019-08-01
97,Nice,FRA,1,1601.29748535,2019-07-26,2019-08-01
98,Freiburg,GER,1,1599.06323242,2019-07-31,2019-08-01
99,Granada,ESP,1,1598.46203613,2019-07-31,2019-08-01
100,Fiorentina,ITA,1,1595.18322754,2019-07-31,2019-08-01
None,Augsburg,GER,1,1594.44909668,2019-07-26,2019-08-01
None,Bueyueksehir,TUR,1,1592.78027344,2019-07-26,2019-08-01
None,Fulham,ENG,2,1589.3416748,2019-07-26,2019-08-01
None,Reims,FRA,1,1588.55236816,2019-07-26,2019-08-01
None,Stuttgart,GER,2,1586.68981934,2019-07-27,2019-08-01
None,Rayo Vallecano,ESP,2,1583.46533203,2019-07-26,2019-08-01
None,FC Kobenhavn,DEN,1,1582.09020996,2019-08-01,2019-08-01
None,Spartak Moskva,RUS,1,1581.06213379,2019-07-28,2019-08-01
None,LASK,AUT,1,1580.91674805,2019-07-29,2019-08-01
None,Viktoria Plzen,CZE,1,1577.60217285,2019-07-31,2019-08-01
None,Depor,ESP,2,1576.88110352,2019-07-26,2019-08-01
None,Bologna,ITA,1,1575.89709473,2019-07-26,2019-08-01
None,Nimes,FRA,1,1575.42089844,2019-07-26,2019-08-01
None,Rostov,RUS,1,1574.6003418,2019-07-29,2019-08-01
None,Nantes,FRA,1,1574.4387207,2019-07-26,2019-08-01
None,CFR Cluj,ROM,1,1572.33300781,2019-07-31,2019-08-01
None,Koeln,GER,1,1571.43151855,2019-07-26,2019-08-01
None,Derby,ENG,2,1571.17248535,2019-07-26,2019-08-01
None,Malaga,ESP,2,1570.56018066,2019-07-26,2019-08-01
None,Sassuolo,ITA,1,1569.15820312,2019-07-26,2019-08-01
None,Feyenoord,NED,1,1568.22277832,2019-07-31,2019-08-01
None,Standard,BEL,1,1568.07995605,2019-07-28,2019-08-01
None,Monaco,FRA,1,1568.05322266,2019-07-26,2019-08-01
None,Celtic,SCO,1,1566.84960938,2019-07-31,2019-08-01
None,Mallorca,ESP,1,1565.66552734,2019-07-26,2019-08-01
None,Apollon Lemesos,CYP,0,1565.65869141,2019-07-31,2019-08-01
None,Udinese,ITA,1,1564.83251953,2019-07-26,2019-08-01
None,Cadiz,ESP,2,1563.37255859,2019-07-26,2019-08-01
None,Angers,FRA,1,1560.27160645,2019-07-26,2019-08-01
None,AEK,GRE,1,1559.86242676,2019-07-31,2019-08-01
None,Strasbourg,FRA,1,1559.6706543,2019-07-26,2019-08-01
None,Bordeaux,FRA,1,1558.12695312,2019-07-26,2019-08-01
None,Malmoe,SWE,1,1557.80102539,2019-08-01,2019-08-01
None,Spal,ITA,1,1553.78149414,2019-07-26,2019-08-01
None,Tula,RUS,1,1553.36242676,2019-07-29,2019-08-01
None,Empoli,ITA,2,1551.12231445,2019-07-26,2019-08-01
None,Leeds,ENG,2,1549.64599609,2019-07-26,2019-08-01
None,Gent,BEL,1,1547.87927246,2019-07-29,2019-08-01
None,Swansea,ENG,2,1547.66418457,2019-07-26,2019-08-01
None,Middlesbrough,ENG,2,1547.07788086,2019-07-26,2019-08-01
None,Brentford,ENG,2,1544.67456055,2019-07-26,2019-08-01
None,Terek Grozny,RUS,1,1542.41064453,2019-07-30,2019-08-01
None,Rubin Kazan,RUS,1,1542.38476562,2019-07-30,2019-08-01
None,Trabzonspor,TUR,1,1541.40588379,2019-07-26,2019-08-01
None,Larnaca,CYP,0,1540.86352539,2019-07-31,2019-08-01
None,Genoa,ITA,1,1540.68566895,2019-07-26,2019-08-01
None,Union Berlin,GER,1,1540.54345703,2019-07-26,2019-08-01
None,Gijon,ESP,2,1539.96679688,2019-07-26,2019-08-01
None,Steaua,ROM,1,1539.58215332,2019-07-31,2019-08-01
None,M Tel Aviv,ISR,1,1538.21179199,2019-07-31,2019-08-01
None,Midtjylland,DEN,1,1537.48620605,2019-08-01,2019-08-01
None,Cagliari,ITA,1,1535.51159668,2019-07-26,2019-08-01
None,Bristol City,ENG,2,1534.40661621,2019-07-26,2019-08-01
None,Albacete,ESP,2,1532.79516602,2019-07-26,2019-08-01
None,Rijeka,CRO,1,1530.51647949,2019-07-31,2019-08-01
None,AIK,SWE,1,1529.69030762,2019-08-01,2019-08-01
None,Razgrad,BUL,1,1529.58422852,2019-07-30,2019-08-01
None,Alkmaar,NED,1,1529.32763672,2019-07-31,2019-08-01
None,Sheffield Weds,ENG,2,1528.33520508,2019-07-26,2019-08-01
None,Almeria,ESP,2,1527.55969238,2019-07-26,2019-08-01
None,Metz,FRA,1,1526.8170166,2019-07-26,2019-08-01
None,Dynamo Moskva,RUS,1,1526.40136719,2019-07-27,2019-08-01
None,Oviedo,ESP,2,1525.9831543,2019-07-26,2019-08-01
None,Huddersfield,ENG,2,1525.96838379,2019-07-26,2019-08-01
None,Hannover,GER,2,1525.22851562,2019-07-27,2019-08-01
None,Stoke,ENG,2,1525.08093262,2019-07-26,2019-08-01
None,Fenerbahce,TUR,1,1525.07751465,2019-07-26,2019-08-01
None,Molde,NOR,1,1519.98986816,2019-08-01,2019-08-01
None,Preston,ENG,2,1518.0703125,2019-07-26,2019-08-01
None,Rapid Wien,AUT,1,1516.49291992,2019-07-27,2019-08-01
None,Troyes,FRA,2,1515.61791992,2019-07-27,2019-08-01
None,Hamburg,GER,2,1513.32116699,2019-07-29,2019-08-01
None,Sverdlovsk,RUS,1,1512.60595703,2019-07-27,2019-08-01
None,Brest,FRA,1,1512.05786133,2019-07-26,2019-08-01
None,Zaragoza,ESP,2,1511.07409668,2019-07-26,2019-08-01
None,Guimaraes,POR,1,1509.29699707,2019-07-26,2019-08-01
None,Utrecht,NED,1,1508.80627441,2019-07-31,2019-08-01
None,Rangers,SCO,1,1508.66748047,2019-07-31,2019-08-01
None,Hull,ENG,2,1508.31445312,2019-07-26,2019-08-01
None,Charleroi,BEL,1,1507.38244629,2019-07-29,2019-08-01
None,Amiens,FRA,1,1507.33276367,2019-07-26,2019-08-01
None,Sparta Praha,CZE,1,1506.45788574,2019-07-31,2019-08-01
None,Forest,ENG,2,1505.29858398,2019-07-26,2019-08-01
None,Kortrijk,BEL,1,1504.80529785,2019-07-27,2019-08-01
None,Nuernberg,GER,2,1503.43249512,2019-07-28,2019-08-01
None,Paderborn,GER,1,1502.06726074,2019-07-26,2019-08-01
None,Parma,ITA,1,1501.79748535,2019-07-26,2019-08-01
