Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,2087.81201172,2015-07-31,2015-08-06
2,Real Madrid,ESP,1,2062.75976562,2015-07-31,2015-08-06
3,Bayern,GER,1,1980.49816895,2015-07-31,2015-08-06
4,Atletico,ESP,1,1945.57995605,2015-07-31,2015-08-06
5,Juventus,ITA,1,1920.18933105,2015-07-31,2015-08-06
6,Sevilla,ESP,1,1917.51953125,2015-07-31,2015-08-06
7,Chelsea,ENG,1,1893.43798828,2015-07-31,2015-08-06
8,Valencia,ESP,1,1889.33300781,2015-07-31,2015-08-06
9,Man City,ENG,1,1884.95141602,2015-07-31,2015-08-06
10,Paris SG,FRA,1,1870.80334473,2015-07-31,2015-08-04
11,Arsenal,ENG,1,1853.70495605,2015-07-31,2015-08-06
12,Benfica,POR,1,1834.23364258,2015-07-31,2015-08-06
13,Porto,POR,1,1823.62512207,2015-07-31,2015-08-06
14,Wolfsburg,GER,1,1822.31750488,2015-07-31,2015-08-06
15,Leverkusen,GER,1,1819.37060547,2015-07-31,2015-08-06
16,Gladbach,GER,1,1815.60974121,2015-07-31,2015-08-06
17,Man United,ENG,1,1812.81335449,2015-07-31,2015-08-06
18,Bilbao,ESP,1,1804.46154785,2015-07-31,2015-08-06
19,Dortmund,GER,1,1790.78491211,2015-07-31,2015-08-06
20,Zenit,RUS,1,1779.39123535,2015-07-31,2015-08-01
21,Villarreal,ESP,1,1777.4810791,2015-07-31,2015-08-04
22,Monaco,FRA,1,1773.55639648,2015-07-31,2015-08-04
23,Celta,ESP,1,1772.20446777,2015-07-31,2015-08-05
24,Shakhtar,UKR,1,1760.6027832,2015-07-31,2015-08-01
25,Liverpool,ENG,1,1755.30334473,2015-07-31,2015-08-05
26,CSKA Moskva,RUS,1,1751.23828125,2015-07-31,2015-08-01
27,Fiorentina,ITA,1,1750.78430176,2015-07-31,2015-08-02
28,Sociedad,ESP,1,1749.71582031,2015-07-31,2015-08-02
29,Dynamo Kyiv,UKR,1,1747.71728516,2015-07-31,2015-08-02
30,Napoli,ITA,1,1747.39587402,2015-07-31,2015-08-04
31,Lyon,FRA,1,1747.15478516,2015-07-31,2015-08-04
32,Lazio,ITA,1,1743.90966797,2015-07-31,2015-08-06
33,Espanyol,ESP,1,1742.4005127,2015-07-31,2015-08-06
