Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2050.57299805,2024-05-20,2024-08-18
2,Real Madrid,ESP,1,1997.41125488,2024-06-02,2024-08-18
3,Inter,ITA,1,1964.77954102,2024-05-30,2024-08-17
4,Arsenal,ENG,1,1946.90283203,2024-05-23,2024-08-17
5,Leverkusen,GER,1,1925.04150391,2024-06-02,2024-08-22
6,Liverpool,ENG,1,1900.68835449,2024-06-02,2024-08-17
7,Bayern,GER,1,1900.06628418,2024-06-02,2024-08-22
8,Atalanta,ITA,1,1884.4744873,2024-06-03,2024-08-17
9,Barcelona,ESP,1,1882.09338379,2024-06-02,2024-08-16
10,Paris SG,FRA,1,1877.40136719,2024-06-02,2024-08-06
11,Dortmund,GER,1,1869.18908691,2024-06-02,2024-08-22
12,RB Leipzig,GER,1,1846.6940918,2024-06-02,2024-08-22
13,Milan,ITA,1,1838.72802734,2024-05-30,2024-08-17
14,Atletico,ESP,1,1828.52355957,2024-06-02,2024-08-19
15,Juventus,ITA,1,1827.82836914,2024-06-02,2024-08-19
16,Roma,ITA,1,1812.41601562,2024-05-30,2024-08-15
17,Chelsea,ENG,1,1810.11962891,2024-06-02,2024-08-09
18,Stuttgart,GER,1,1808.23937988,2024-06-02,2024-08-08
19,Sporting,POR,1,1805.88293457,2024-07-26,2024-08-01
20,Newcastle,ENG,1,1801.79711914,2024-05-25,2024-08-17
21,Bologna,ITA,1,1795.25170898,2024-05-30,2024-08-18
22,Girona,ESP,1,1793.73266602,2024-06-02,2024-08-15
23,PSV,NED,1,1792.64624023,2024-07-26,2024-08-01
24,Tottenham,ENG,1,1790.55664062,2024-05-27,2024-08-01
25,Lazio,ITA,1,1784.74365234,2024-05-30,2024-08-15
26,Man United,ENG,1,1779.04394531,2024-05-30,2024-08-01
27,Napoli,ITA,1,1778.8536377,2024-05-30,2024-08-01
28,Porto,POR,1,1778.60400391,2024-07-26,2024-08-01
29,Fiorentina,ITA,1,1776.37329102,2024-06-03,2024-08-17
30,Aston Villa,ENG,1,1770.43505859,2024-06-03,2024-08-08
31,Benfica,POR,1,1768.10290527,2024-07-26,2024-08-01
32,Sociedad,ESP,1,1766.55554199,2024-06-03,2024-08-11
33,Bilbao,ESP,1,1764.15380859,2024-06-03,2024-08-11
34,Feyenoord,NED,1,1762.32666016,2024-07-26,2024-08-01
35,Monaco,FRA,1,1761.04504395,2024-05-26,2024-08-01
36,Crystal Palace,ENG,1,1759.70800781,2024-05-26,2024-08-01
37,Lille,FRA,1,1751.39599609,2024-05-20,2024-08-06
