Rank,Club,Country,Level,Elo,From,To
1,Bayern,GER,1,2017.63415527,2020-07-03,2020-08-05
2,Liverpool,ENG,1,2000.66516113,2020-07-27,2020-08-05
3,Man City,ENG,1,1993.57592773,2020-07-27,2020-08-05
4,Barcelona,ESP,1,1967.29516602,2020-07-20,2020-08-05
5,Real Madrid,ESP,1,1924.12243652,2020-07-20,2020-08-05
6,Paris SG,FRA,1,1901.07177734,2020-07-20,2020-08-07
7,Atletico,ESP,1,1900.59448242,2020-07-20,2020-08-05
8,Man United,ENG,1,1879.6875,2020-07-30,2020-08-05
9,Juventus,ITA,1,1862.93200684,2020-07-30,2020-08-01
10,RB Leipzig,GER,1,1849.79077148,2020-06-28,2020-08-01
11,Atalanta,ITA,1,1847.24267578,2020-07-29,2020-08-01
12,Dortmund,GER,1,1839.19519043,2020-07-12,2020-08-01
13,Sevilla,ESP,1,1829.91381836,2020-07-20,2020-08-05
14,Chelsea,ENG,1,1828.70251465,2020-07-27,2020-08-05
15,Tottenham,ENG,1,1816.74682617,2020-07-27,2020-08-01
16,Arsenal,ENG,1,1808.55810547,2020-07-27,2020-08-01
17,Inter,ITA,1,1804.69506836,2020-07-29,2020-08-01
18,Leverkusen,GER,1,1799.99572754,2020-07-29,2020-08-05
19,Wolves,ENG,1,1787.34289551,2020-07-27,2020-08-05
20,Villarreal,ESP,1,1773.65966797,2020-07-27,2020-08-05
21,Ajax,NED,1,1768.0904541,2020-07-29,2020-08-01
22,Leicester,ENG,1,1767.01916504,2020-07-29,2020-08-01
23,Gladbach,GER,1,1764.94067383,2020-07-29,2020-08-01
24,Salzburg,AUT,1,1762.09008789,2020-07-29,2020-08-01
25,Milan,ITA,1,1761.18383789,2020-07-30,2020-08-01
26,Napoli,ITA,1,1761.08361816,2020-07-30,2020-08-01
27,Shakhtar,UKR,1,1758.56176758,2020-07-30,2020-08-05
28,Getafe,ESP,1,1747.0982666,2020-07-26,2020-08-01
29,Olympiakos,GRE,1,1745.95288086,2020-07-26,2020-08-01
30,Porto,POR,1,1745.82849121,2020-07-26,2020-08-01
31,Sociedad,ESP,1,1742.5411377,2020-07-27,2020-08-01
32,Roma,ITA,1,1739.94055176,2020-07-30,2020-08-01
33,Lazio,ITA,1,1738.50305176,2020-07-30,2020-08-01
34,Valencia,ESP,1,1736.0012207,2020-07-30,2020-08-01
35,Hoffenheim,GER,1,1734.72058105,2020-07-30,2020-08-01
36,Burnley,ENG,1,1731.73693848,2020-07-27,2020-08-01
37,Southampton,ENG,1,1729.24536133,2020-07-27,2020-08-05
