Rank,Club,Country,Level,Elo,From,To
1,Real Madrid,ESP,1,2083.35327148,2017-07-28,2017-08-03
2,Barcelona,ESP,1,2021.98327637,2017-07-28,2017-08-03
3,Bayern,GER,1,1998.82446289,2017-07-28,2017-08-03
4,Atletico,ESP,1,1952.33215332,2017-07-28,2017-08-03
5,Juventus,ITA,1,1944.28662109,2017-07-28,2017-08-03
6,Chelsea,ENG,1,1909.07751465,2017-07-28,2017-08-03
7,Tottenham,ENG,1,1887.18969727,2017-07-28,2017-08-03
8,Paris SG,FRA,1,1876.33056641,2017-07-28,2017-08-02
9,Monaco,FRA,1,1873.79699707,2017-07-28,2017-08-02
10,Man City,ENG,1,1866.48486328,2017-07-28,2017-08-03
11,Dortmund,GER,1,1865.30224609,2017-07-28,2017-08-03
12,Napoli,ITA,1,1863.95166016,2017-07-28,2017-08-03
13,Man United,ENG,1,1857.4798584,2017-07-28,2017-08-03
14,Arsenal,ENG,1,1847.96435547,2017-07-28,2017-08-03
15,Roma,ITA,1,1839.59082031,2017-07-28,2017-08-03
16,Liverpool,ENG,1,1837.09350586,2017-07-28,2017-08-03
17,Sevilla,ESP,1,1813.90405273,2017-07-28,2017-08-03
18,Villarreal,ESP,1,1794.51208496,2017-07-28,2017-08-03
19,Benfica,POR,1,1787.28930664,2017-07-28,2017-08-03
20,Bilbao,ESP,1,1782.44396973,2017-07-28,2017-08-03
21,Shakhtar,UKR,1,1773.41442871,2017-07-30,2017-08-02
22,Hoffenheim,GER,1,1772.82446289,2017-07-30,2017-08-02
23,Sociedad,ESP,1,1768.65930176,2017-07-28,2017-08-02
24,Zenit,RUS,1,1757.61279297,2017-07-31,2017-08-02
25,Everton,ENG,1,1750.21777344,2017-07-28,2017-08-03
26,Ajax,NED,1,1747.11767578,2017-07-28,2017-08-02
27,Dynamo Kyiv,UKR,1,1736.01135254,2017-07-30,2017-08-02
28,Porto,POR,1,1730.9317627,2017-07-28,2017-08-02
29,CSKA Moskva,RUS,1,1729.66027832,2017-07-30,2017-08-02
30,Leverkusen,GER,1,1728.46826172,2017-07-30,2017-08-03
31,Gladbach,GER,1,1724.91650391,2017-07-28,2017-08-02
32,Malaga,ESP,1,1724.66015625,2017-07-28,2017-08-02
33,RB Leipzig,GER,1,1724.23925781,2017-07-28,2017-08-02
34,Espanyol,ESP,1,1724.09899902,2017-07-28,2017-08-02
35,Schalke,GER,1,1723.75341797,2017-07-28,2017-08-02
36,Lyon,FRA,1,1722.50439453,2017-07-28,2017-08-02
37,Nice,FRA,1,1717.75878906,2017-07-28,2017-08-02
38,Leicester,ENG,1,1716.67285156,2017-07-28,2017-08-02
39,Alaves,ESP,1,1713.95397949,2017-07-28,2017-08-03
40,Eibar,ESP,1,1712.85412598,2017-07-29,2017-08-03
41,Koeln,GER,1,1711.82250977,2017-07-29,2017-08-03
42,Besiktas,TUR,1,1711.78137207,2017-07-29,2017-08-02
43,Atalanta,ITA,1,1710.7611084,2017-07-29,2017-08-03
44,Valencia,ESP,1,1708.51049805,2017-07-29,2017-08-03
45,Anderlecht,BEL,1,1706.97253418,2017-07-29,2017-08-02
46,PSV,NED,1,1702.58337402,2017-07-28,2017-08-02
47,Celta,ESP,1,1702.28710938,2017-07-28,2017-08-02
48,Werder,GER,1,1701.70080566,2017-07-28,2017-08-02
49,Lazio,ITA,1,1701.17163086,2017-07-30,2017-08-03
50,Marseille,FRA,1,1697.09033203,2017-07-30,2017-08-02
51,Salzburg,AUT,1,1693.18395996,2017-07-30,2017-08-02
52,Inter,ITA,1,1691.83398438,2017-07-28,2017-08-02
53,Southampton,ENG,1,1691.7442627,2017-07-28,2017-08-02
54,Wolfsburg,GER,1,1680.88146973,2017-07-28,2017-08-03
55,Milan,ITA,1,1680.83178711,2017-07-28,2017-08-03
56,Spartak Moskva,RUS,1,1677.45275879,2017-08-01,2017-08-02
57,Sporting,POR,1,1676.85510254,2017-07-28,2017-08-03
58,Fiorentina,ITA,1,1674.17028809,2017-07-28,2017-08-03
59,Rostov,RUS,1,1673.61999512,2017-07-31,2017-08-02
60,West Ham,ENG,1,1672.2331543,2017-07-31,2017-08-03
61,FC Krasnodar,RUS,1,1671.23803711,2017-08-01,2017-08-02
62,Bordeaux,FRA,1,1663.12072754,2017-07-28,2017-08-02
63,Stoke,ENG,1,1662.29174805,2017-07-28,2017-08-03
64,Levante,ESP,1,1655.87963867,2017-07-28,2017-08-03
65,Freiburg,GER,1,1654.68017578,2017-07-28,2017-08-03
66,Bournemouth,ENG,1,1653.4354248,2017-07-30,2017-08-02
67,Hertha,GER,1,1652.90527344,2017-07-30,2017-08-02
68,Depor,ESP,1,1651.75073242,2017-07-30,2017-08-02
69,Getafe,ESP,1,1651.6862793,2017-07-30,2017-08-02
70,Augsburg,GER,1,1651.56726074,2017-07-30,2017-08-02
71,Swansea,ENG,1,1649.04797363,2017-07-30,2017-08-02
72,Brugge,BEL,1,1648.00061035,2017-07-30,2017-08-02
73,Fenerbahce,TUR,1,1646.17749023,2017-07-30,2017-08-02
74,Mainz,GER,1,1645.53259277,2017-07-30,2017-08-02
75,FC Kobenhavn,DEN,1,1645.23461914,2017-07-30,2017-08-02
76,West Brom,ENG,1,1644.80932617,2017-07-28,2017-08-03
77,Betis,ESP,1,1644.42626953,2017-07-28,2017-08-03
78,Basel,SUI,1,1643.54260254,2017-07-31,2017-08-02
79,Crystal Palace,ENG,1,1642.5402832,2017-07-31,2017-08-03
80,Genk,BEL,1,1640.98413086,2017-07-31,2017-08-02
81,Torino,ITA,1,1640.27526855,2017-07-31,2017-08-02
82,Hamburg,GER,1,1639.03198242,2017-07-30,2017-08-02
83,Las Palmas,ESP,1,1635.07287598,2017-07-28,2017-08-03
84,Lok Moskva,RUS,1,1634.62597656,2017-07-31,2017-08-02
85,Feyenoord,NED,1,1634.42004395,2017-07-31,2017-08-02
86,Frankfurt,GER,1,1634.40441895,2017-07-31,2017-08-02
87,Bueyueksehir,TUR,1,1634.0723877,2017-07-31,2017-08-02
88,Olympiakos,GRE,1,1634.02856445,2017-07-31,2017-08-02
89,Leganes,ESP,1,1628.94628906,2017-07-31,2017-08-02
90,Burnley,ENG,1,1628.66638184,2017-07-31,2017-08-02
91,Dinamo Zagreb,CRO,1,1628.43896484,2017-07-31,2017-08-02
92,Gijon,ESP,2,1626.84265137,2017-07-28,2017-08-02
93,Sassuolo,ITA,1,1625.66516113,2017-07-28,2017-08-02
94,Terek Grozny,RUS,1,1624.98852539,2017-07-30,2017-08-02
95,Saint-Etienne,FRA,1,1624.59741211,2017-07-30,2017-08-02
96,Newcastle,ENG,1,1622.85705566,2017-07-30,2017-08-02
97,Lille,FRA,1,1619.20263672,2017-07-28,2017-08-02
98,Rijeka,CRO,1,1619.03710938,2017-07-30,2017-08-02
99,Stuttgart,GER,1,1614.3269043,2017-07-28,2017-08-03
100,Girona,ESP,1,1613.94885254,2017-07-28,2017-08-03
None,Viktoria Plzen,CZE,1,1607.94506836,2017-07-30,2017-08-02
None,Beer-Sheva,ISR,1,1606.3614502,2017-07-28,2017-08-02
None,Watford,ENG,1,1603.34594727,2017-07-28,2017-08-03
None,Gent,BEL,1,1601.28649902,2017-07-31,2017-08-02
None,Rennes,FRA,1,1600.87023926,2017-07-28,2017-08-02
None,Hannover,GER,1,1597.27844238,2017-07-28,2017-08-03
None,Nantes,FRA,1,1593.96630859,2017-07-28,2017-08-02
None,Celtic,SCO,1,1593.67541504,2017-07-28,2017-08-02
None,Tenerife,ESP,2,1592.77697754,2017-07-28,2017-08-03
None,Ingolstadt,GER,2,1590.82910156,2017-07-30,2017-08-03
None,Sampdoria,ITA,1,1590.30688477,2017-07-28,2017-08-03
None,Young Boys,SUI,1,1589.80224609,2017-07-30,2017-08-02
None,Rayo Vallecano,ESP,2,1586.31286621,2017-07-28,2017-08-03
None,Brighton,ENG,1,1583.4777832,2017-07-28,2017-08-03
None,Slavia Praha,CZE,1,1582.91955566,2017-07-30,2017-08-02
None,Angers,FRA,1,1580.68005371,2017-07-28,2017-08-02
None,Toulouse,FRA,1,1574.26818848,2017-07-28,2017-08-02
None,Guingamp,FRA,1,1573.85632324,2017-07-28,2017-08-02
None,Cadiz,ESP,2,1573.14904785,2017-07-28,2017-08-03
None,Sparta Praha,CZE,1,1570.48510742,2017-07-31,2017-08-02
None,Hull,ENG,2,1569.64831543,2017-07-28,2017-08-03
None,Huesca,ESP,2,1567.92260742,2017-07-28,2017-08-03
None,Udinese,ITA,1,1567.88879395,2017-07-28,2017-08-03
None,Valladolid,ESP,2,1566.79956055,2017-07-28,2017-08-03
None,Tarragona,ESP,2,1562.94458008,2017-07-28,2017-08-03
None,Cagliari,ITA,1,1562.44946289,2017-07-28,2017-08-03
None,Middlesbrough,ENG,2,1561.92126465,2017-07-28,2017-08-03
None,Sunderland,ENG,2,1559.15625,2017-07-28,2017-08-03
None,Montpellier,FRA,1,1558.03564453,2017-07-28,2017-08-02
None,APOEL,CYP,0,1556.84545898,2017-07-28,2017-08-02
None,Granada,ESP,2,1554.40795898,2017-07-28,2017-08-03
None,Chievo,ITA,1,1554.13110352,2017-07-28,2017-08-03
None,Darmstadt,GER,2,1552.89648438,2017-07-30,2017-08-03
None,Rubin Kazan,RUS,1,1551.13903809,2017-07-30,2017-08-02
None,Bologna,ITA,1,1549.53198242,2017-07-28,2017-08-03
None,Panathinaikos,GRE,1,1549.52319336,2017-07-28,2017-08-02
None,Osasuna,ESP,2,1549.19592285,2017-07-28,2017-08-03
None,Steaua,ROM,1,1546.01660156,2017-07-31,2017-08-02
None,Union Berlin,GER,2,1545.80603027,2017-07-30,2017-08-03
None,Oviedo,ESP,2,1544.33496094,2017-07-28,2017-08-03
None,Galatasaray,TUR,1,1543.60498047,2017-07-28,2017-08-02
None,Fulham,ENG,2,1542.90661621,2017-07-28,2017-08-03
None,Braga,POR,1,1542.06384277,2017-07-28,2017-08-03
None,Charleroi,BEL,1,1539.74853516,2017-07-30,2017-08-02
None,PAOK,GRE,1,1539.59667969,2017-07-28,2017-08-02
None,Ufa,RUS,1,1539.3737793,2017-07-30,2017-08-02
None,Genoa,ITA,1,1539.04931641,2017-07-28,2017-08-03
None,Utrecht,NED,1,1538.39196777,2017-07-28,2017-08-02
None,Cordoba,ESP,2,1538.18237305,2017-07-28,2017-08-03
None,M Tel Aviv,ISR,1,1538.13549805,2017-07-28,2017-08-02
None,Braunschweig,GER,2,1537.33886719,2017-08-01,2017-08-03
None,Guimaraes,POR,1,1536.72143555,2017-07-28,2017-08-03
None,Zorya,UKR,1,1535.96777344,2017-07-31,2017-08-02
None,Dijon,FRA,1,1535.80859375,2017-07-28,2017-08-02
None,Zaragoza,ESP,2,1535.74951172,2017-07-28,2017-08-03
None,Norwich,ENG,2,1534.25024414,2017-07-28,2017-08-03
None,Lorient,FRA,2,1534.14855957,2017-07-30,2017-08-02
None,Sheffield Weds,ENG,2,1531.11450195,2017-07-28,2017-08-03
None,Almeria,ESP,2,1530.25415039,2017-07-28,2017-08-03
None,Metz,FRA,1,1530.11975098,2017-07-28,2017-08-02
None,Hajduk,CRO,1,1528.75109863,2017-07-31,2017-08-02
None,Crotone,ITA,1,1527.36132812,2017-07-28,2017-08-03
None,Austria Wien,AUT,1,1526.42089844,2017-07-31,2017-08-02
None,Reus Deportiu,ESP,2,1524.39672852,2017-07-28,2017-08-03
None,Alcorcon,ESP,2,1524.2677002,2017-07-28,2017-08-03
None,St Pauli,GER,2,1524.18981934,2017-07-29,2017-08-03
None,Rapid Wien,AUT,1,1523.95898438,2017-07-30,2017-08-02
None,Reading,ENG,2,1523.8125,2017-07-28,2017-08-03
None,Antalyaspor,TUR,1,1523.80871582,2017-07-28,2017-08-02
None,Caen,FRA,1,1521.78967285,2017-07-28,2017-08-02
None,Oostende,BEL,1,1519.7598877,2017-07-31,2017-08-02
None,Verona,ITA,1,1519.30810547,2017-07-28,2017-08-03
None,Lugo,ESP,2,1517.47045898,2017-07-28,2017-08-03
None,Razgrad,BUL,1,1516.66064453,2017-07-30,2017-08-02
None,Numancia,ESP,2,1516.40332031,2017-07-28,2017-08-03
None,Zulte Waregem,BEL,1,1515.82592773,2017-07-30,2017-08-02
None,Crvena Zvezda,SRB,1,1514.49938965,2017-07-31,2017-08-02
None,Legia,POL,1,1514.27783203,2017-07-30,2017-08-02
None,Sturm Graz,AUT,1,1514.03515625,2017-07-31,2017-08-02
None,Alkmaar,NED,1,1513.19799805,2017-07-28,2017-08-02
None,Empoli,ITA,2,1512.82971191,2017-07-28,2017-08-03
None,Standard,BEL,1,1512.79907227,2017-07-31,2017-08-02
None,Nancy,FRA,2,1511.95996094,2017-07-29,2017-08-02
None,Leeds,ENG,2,1510.22338867,2017-07-28,2017-08-03
None,Spal,ITA,1,1507.98937988,2017-07-28,2017-08-03
None,Rosenborg,NOR,1,1506.5456543,2017-07-28,2017-08-02
None,Dinamo Bucuresti,ROM,1,1506.32348633,2017-07-31,2017-08-02
None,Sevilla B,ESP,2,1504.67346191,2017-07-28,2017-08-03
None,Lens,FRA,2,1504.16943359,2017-08-01,2017-08-02
None,Akhisar,TUR,1,1504.1348877,2017-07-28,2017-08-02
None,AEK,GRE,1,1501.65844727,2017-07-28,2017-08-02
None,Troyes,FRA,1,1500.59887695,2017-07-28,2017-08-02
None,Derby,ENG,2,1499.6348877,2017-07-28,2017-08-03
None,Midtjylland,DEN,1,1499.08630371,2017-07-31,2017-08-02
None,Sverdlovsk,RUS,1,1498.48364258,2017-07-30,2017-08-02
None,Partizan,SRB,1,1496.85119629,2017-07-30,2017-08-02
None,Brentford,ENG,2,1496.53881836,2017-07-28,2017-08-03
None,Le Havre,FRA,2,1496.0234375,2017-07-29,2017-08-02
None,Amkar Perm,RUS,1,1494.68139648,2017-07-31,2017-08-02
None,Malmoe,SWE,1,1494.25097656,2017-07-30,2017-08-03
